ma_kh,ten_kh,ma_tp,ngay_dat_hang_dau_tien
1,Xuân Trần,8168,2021-01-30
4,Chị Duyên Phạm,8260,2023-09-26
7,Lan Bùi,3950,2023-02-12
8,Vi Lê,8171,2020-09-26
10,Quang Trí Đặng,4433,2024-01-03
12,Hưng Hoàng Nguyễn,4499,2022-11-07
13,Thành Văn Nguyễn,1169,2023-10-23
15,Ngọc Hoàng,7729,2021-08-26
17,Vũ Mai,3396,2021-04-11
21,Cô Duyên Dương,5742,2024-01-14
22,Bà Dương Hoàng,9634,2022-11-27
23,An Đặng,9574,2024-12-09
24,Mai Bùi,732,2021-10-30
25,Vũ Mai,2749,2024-11-29
27,Bác Nam Hoàng,8171,2022-04-10
28,Xuân Hoàng,3129,2025-01-15
34,Bà Nhật Lê,9011,2024-10-12
35,An Trí Dương,4499,2022-05-18
36,Chị Duyên Trần,6660,2022-08-25
37,Ngọc Trần,7672,2020-07-16
42,Bác Nhiên Mai,2032,2021-11-25
43,Tùng Dương,8168,2021-03-18
44,Xuân Trần,9399,2023-07-05
45,Khoa Đặng,3950,2022-04-22
46,Quang Nguyễn,9011,2023-05-27
48,Vũ Bùi,7023,2020-12-09
50,Bà Thành Bùi,8168,2024-03-16
51,Vân Đặng,9574,2024-08-10
52,Dũng Hải Trần,4793,2021-05-16
54,Châu Hoàng Nguyễn,9399,2023-10-11
55,Ông Tú Bùi,4499,2021-08-28
56,Lan Dương,8863,2024-04-29
57,Bác Phúc Lê,732,2023-04-23
59,Huy Hữu Đặng,867,2022-10-14
61,Minh Hoàng,3129,2020-12-09
64,Cô Yến Phạm,867,2021-05-09
67,Bà Khoa Hoàng,8260,2023-07-21
68,Anh Tú Phạm,7134,2024-02-24
69,Minh Mai,4793,2021-09-04
70,Phương Thế Lê,2358,2023-06-30
71,Hải Trí Nguyễn,2973,2021-06-28
72,Vi Dương,1169,2024-09-24
75,Bà Thảo Trần,6994,2020-09-30
76,Bà Thành Trần,6994,2024-05-14
77,Cô An Trần,7134,2021-05-15
79,Ông Hưng Trần,8404,2025-03-25
80,Quang Văn Phạm,4793,2021-12-19
82,Nhật Hoàng Nguyễn,4679,2024-01-15
83,Nhật Thế Dương,6660,2021-03-02
86,Nhật Đức Lê,5786,2024-03-26
88,Hà Vũ,8404,2024-01-09
91,Trọng Bùi,4499,2024-11-23
92,Thành Hải Mai,8863,2024-03-13
93,Cô Ánh Nguyễn,3818,2022-03-27
96,Hà Đức Lê,6994,2020-05-04
98,Huy Hoàng Lê,9011,2024-12-21
100,Quý cô Ánh Dương,2973,2021-06-27
104,Khoa Mai Phạm,4793,2021-06-04
105,Nam Trần,5786,2022-08-25
106,Bà Hương Phạm,3748,2025-03-25
107,Quý ông Khoa Dương,9634,2022-01-25
108,Quý cô Nhật Phạm,4679,2022-03-02
109,Quý cô Xuân Hoàng,867,2024-01-27
111,Phương Thị Trần,8404,2022-02-01
113,Cô Hồng Đặng,7672,2021-08-30
114,Anh Đức Bùi,3129,2024-08-02
115,Minh Mai,5742,2023-11-30
116,An Nguyễn,9250,2022-01-03
118,Xuân Dương,1169,2023-01-20
119,Thảo Lê,4499,2025-03-07
121,Yến Hoàng,4499,2024-07-10
123,Tú Bảo Phạm,9634,2023-07-12
124,Quý cô Thảo Mai,2749,2024-03-03
125,Bà Thành Dương,732,2020-11-20
126,Châu Bảo Phạm,7023,2025-04-05
127,Phương Bùi,5742,2024-05-17
128,Quý ông Anh Mai,2358,2023-10-12
129,Hạnh Hoàng,8168,2025-02-21
130,Phương Quang Lê,9250,2022-03-04
132,Huy Văn Trần,8168,2023-05-03
133,Thảo Vũ,5111,2023-04-14
134,Hương Hoàng,5786,2021-12-16
135,Bà Lan Trần,3129,2022-03-25
136,Quang Văn Nguyễn,3748,2021-09-03
