ma_kh,dia_chi_buu_dien,thoi_gian
1,"0 Vũ Làng
Thị xã JohnPhường, 319588",2021-07-07
4,"541 Hoàng Làng
Quận JohnQuận, 972773",2024-04-12
8,"8 John Khu
JaneQuận, 727385",2020-10-01
12,"80 Jane Tổ
JaneXã, 229096",2023-06-27
13,"03 John Hẻm
JaneThành phố, 366740",2024-01-17
15,"4 Bùi Dãy
Quận JohnHuyện, 581402",2023-05-28
17,"418 Lê Tổ
Huyện JaneThị xã, 271891",2025-01-13
22,"508 Bùi Làng
Thành phố JohnThị xã, 367899",2023-10-04
23,"2 Mai Khu
Thành phố JohnHuyện, 775676",2025-04-21
24,"636 Jane Khu
Thị xã JaneQuận, 742491",2024-02-06
25,"78 Nguyễn Dãy
Thành phố JaneThị xã, 675910",2025-01-25
27,"2 Bùi Làng
JaneQuận, 256383",2025-01-09
36,"8 Dương Ngõ
Thị xã JaneHuyện, 841904",2024-01-18
43,"5 Phạm Hẻm
Quận JohnPhường, 489205",2023-07-13
44,"37 John Khu
JohnQuận, 577888",2024-04-21
46,"8 Dương Khu
Thành phố JaneXã, 559248",2024-08-11
48,"915 Jane Dãy
Quận JaneXã, 417311",2024-06-06
51,"52 John Tổ
JohnThị xã, 241328",2024-12-17
54,"6 John Số
JaneHuyện, 733502",2024-06-02
56,"8 Jane Dãy
JaneQuận, 886529",2024-10-02
57,"775 Trần Hẻm
Thị xã JaneQuận, 328685",2024-04-02
59,"38 Jane Dãy
Quận JaneQuận, 292170",2025-02-20
61,"6 Dương Số
Huyện JaneHuyện, 391588",2022-12-28
64,"69 Vũ Khu
Thị xã JaneHuyện, 285445",2023-05-10
68,"556 Mai Đường
Thị xã JohnPhường, 109385",2024-10-19
69,"004 John Ngõ
Thị xã JaneHuyện, 493104",2021-09-16
70,"54 Bùi Làng
Huyện JaneQuận, 293289",2023-08-25
71,"5 John Tổ
Huyện JaneThị xã, 702843",2022-09-09
72,"58 Jane Làng
JaneXã, 198717",2024-10-04
77,"794 Lê Đường
JohnHuyện, 789398",2025-03-24
79,"70 John Khu
JaneHuyện, 498507",2025-04-11
